Title,Subject,Description,Creator,Source,Publisher,Date,Contributor,Rights,Relation,Format,Language,Type,Identifier,Coverage
State Council Document No. [1979] 63,Shenzhen establishment,"In March 1979, the State Council issued Document No. [1979] 63, officially establishing Shenzhen Municipality. This marked the legal starting point for Shenzhen¡¯s transformation from a small border town into a modern city and laid the foundation for its designation as China¡¯s first Special Economic Zone.",State Council of the People's Republic of China,https://commons.wikimedia.org/wiki/File:%E5%9B%BD%E5%8F%91%E3%80%941979%E3%80%9563%E5%8F%B7.webp,State Council of the People's Republic of China,1979/3/5,,"Public Domain (Copyright Law of the PRC, Article 5)",,image/webp,zh,Text / Government Document,Guo Fa (1979) No.63,"Shenzhen, China, 1979"
Time is Money; Efficiency is Life Slogan,Reform and opening-up slogan,"In 1982, the slogan ""Time is money, efficiency is life"" was proposed in Shenzhen. This iconic phrase broke ideological barriers and became the spiritual symbol of China¡¯s reform and opening-up era, driving the city¡¯s rapid industrialization.",Shenzhen Municipal Government,https://en.wikipedia.org/wiki/File:Shenchen_in_1982.jpg,Shenzhen Municipal Government,1982,,CC-BY-SA 3.0,,image/jpeg,zh,StillImage,https://en.wikipedia.org/wiki/File:Shenchen_in_1982.jpg,"Shenzhen, China, 1982"
Guomao Building (International Trade Centre),Skyscraper,"Construction of the Guomao Building began in 1982 and was completed in just 37 months by 1985. Known as ""Shenzhen Speed"", it became China¡¯s tallest building at the time and a national symbol of the city¡¯s rapid development in the early reform era.",Shenzhen Construction Team,https://en.wikipedia.org/wiki/File:Guomao_Building_in_Shenzhen2021.jpg,Shenzhen Construction Team,1985,,CC-BY-SA 4.0,,image/jpeg,zh,StillImage,https://en.wikipedia.org/wiki/File:Guomao_Building_in_Shenzhen2021.jpg,"Shenzhen, China, 1985"
Shenzhen Stock Exchange Launch,Financial market,"The Shenzhen Stock Exchange was formally launched in 1990. It established Shenzhen as a national financial center and created China¡¯s second major capital market, accelerating the city¡¯s shift from manufacturing to modern finance.",Shenzhen Municipal Government,https://en.wikipedia.org/wiki/File:Shenzhen_Stock_Exchange_2014.jpg,Shenzhen Municipal Government,1990,,CC-BY-SA 4.0,,image/jpeg,zh,StillImage,https://en.wikipedia.org/wiki/File:Shenzhen_Stock_Exchange_2014.jpg,"Shenzhen, China, 1990"
Shenzhen Bao¡¯an International Airport Opening,Aviation infrastructure,Shenzhen Bao¡¯an International Airport opened in 1991. This new aviation hub greatly improved the city¡¯s global connectivity and supported its rapid economic integration with Hong Kong and the international market.,Shenzhen Airport Authority,https://zh.wikipedia.org/wiki/File:Shenzhen_Airport_Terminal_A.JPG,Shenzhen Airport Authority,1991,,CC-BY-SA 4.0,,image/jpeg,zh,StillImage,https://zh.wikipedia.org/wiki/File:Shenzhen_Airport_Terminal_A.JPG,"Shenzhen, China, 1991"
Shun Hing Square (Di Wang Tower),Skyscraper,Shun Hing Square (Di Wang Tower) was completed in 1996 at 384 meters. It became China¡¯s tallest building at the time and symbolized Shenzhen¡¯s economic rise while defining the Luohu Central Business District.,Zhang Yuanbai,https://commons.wikimedia.org/wiki/File:Shun_Hing_Square.jpg,Shenzhen Municipal Government,1996,,CC-BY-SA 3.0,,image/jpeg,zh,StillImage,https://commons.wikimedia.org/wiki/File:Shun_Hing_Square.jpg,"Shenzhen, China, 1996"
Hong Kong Handover Ceremony (1997),Hong Kong handover,"On 1 July 1997, Hong Kong was handed over to China under ""One Country, Two Systems"". The smooth transition greatly boosted international confidence in Shenzhen, strengthening its role as the mainland¡¯s gateway to global capital and investment.",Xinhua News Agency,https://en.wikipedia.org/wiki/File:Flag_of_Hong_Kong.svg,Xinhua News Agency,1997,,CC-BY-SA 4.0,,image/svg+xml,zh,StillImage,https://en.wikipedia.org/wiki/File:Flag_of_Hong_Kong.svg,"Shenzhen / Hong Kong, 1997"
First China Hi-Tech Fair (CHTF),Technology exhibition,"The first China Hi-Tech Fair was held in Shenzhen in 1999. It established the city as a national platform for technology exchange and innovation, attracting capital and startups while building Shenzhen¡¯s reputation as a tech hub.",Shenzhen Municipal Government,https://en.wikipedia.org/wiki/File:%E4%BA%91%E9%99%85%E8%A7%82%E5%85%89%E5%B1%82_2019_-_07.jpg,Shenzhen Municipal Government,1999,,CC-BY-SA 4.0,,image/jpeg,zh,StillImage,https://en.wikipedia.org/wiki/File:%E4%BA%91%E9%99%85%E8%A7%82%E5%85%89%E5%B1%82_2019_-_07.jpg,"Shenzhen, China, 1999"
Shenzhen University Town Founding,Higher education,"Shenzhen University Town was founded in 2000. It attracted top universities and research institutes, creating a strong local higher-education and R&D base that supported the city¡¯s transition into a knowledge economy.",Shenzhen Municipal Government,https://en.wikipedia.org/wiki/File:Umversitytownszmainentrance.jpg,Shenzhen Municipal Government,2000,,CC-BY-SA 4.0,,image/jpeg,zh,StillImage,https://en.wikipedia.org/wiki/File:Umversitytownszmainentrance.jpg,"Shenzhen, China, 2000"
Shenzhen Metro Line 1 Opening,Urban transport,Shenzhen Metro Line 1 opened in 2004. This marked the beginning of the city¡¯s modern rail transit era and formed the backbone of its urban transportation network.,Shenzhen Metro Group,https://upload.wikimedia.org/wikipedia/commons/5/53/ShenzhenMetro-L1-126.jpeg,Shenzhen Metro Group,2004,,CC-BY-SA 4.0,,image/jpeg,zh,StillImage,https://upload.wikimedia.org/wikipedia/commons/5/53/ShenzhenMetro-L1-126.jpeg,"Shenzhen, China, 2004"
